City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Oktyabrskiy,RU,54.4815,53.471,9.59,94,99,4.63,overcast clouds
81,Albany,US,42.6001,-73.9662,11.8,82,100,1.99,light snow
82,Chimbote,PE,-9.0853,-78.5783,73.06,74,100,7.87,overcast clouds
83,Alta Floresta,BR,-9.8756,-56.0861,80.42,78,40,5.75,scattered clouds
84,Chokurdakh,RU,70.6333,147.9167,-8.39,88,100,3.94,overcast clouds
85,Carnarvon,AU,-24.8667,113.6333,77.07,88,75,9.22,broken clouds
86,Xichang,CN,27.8964,102.2634,41.47,73,0,1.63,clear sky
87,Roald,NO,62.5833,6.1333,40.12,70,75,12.66,light rain
88,Tupik,RU,54.4253,119.9327,-14.55,99,8,2.75,clear sky
89,Bodden Town,KY,19.2833,-81.25,80.01,71,20,8.99,few clouds
90,Lebu,CL,-37.6167,-73.65,64.4,76,26,7.07,scattered clouds
91,Rio Claro,BR,-22.4114,-47.5614,73.4,95,100,1.86,overcast clouds
92,Guerrero Negro,MX,27.9769,-114.0611,58.95,50,0,1.59,clear sky
93,Aswan,EG,24.0934,32.907,63.7,25,0,9.22,clear sky
94,Upernavik,GL,72.7868,-56.1549,7.99,88,100,20.42,overcast clouds
95,Bredasdorp,ZA,-34.5322,20.0403,81.28,50,0,14.97,clear sky
96,Mahebourg,MU,-20.4081,57.7,82.69,78,75,8.05,broken clouds
97,Wad Madani,SD,14.4012,33.5199,81.16,17,74,13.47,broken clouds
98,Castro,BR,-24.7911,-50.0119,60.44,99,100,4.97,overcast clouds
99,Progreso,MX,21.2833,-89.6667,70.11,59,100,19.28,overcast clouds
100,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,70,40,9.22,light rain
101,Vikhorevka,RU,56.1201,101.1636,-8.01,100,90,1.95,overcast clouds
102,Uinskoye,RU,56.8817,56.5813,3.61,99,98,3.27,overcast clouds
103,Iqaluit,CA,63.7506,-68.5145,-14.31,68,100,10.0,light snow
104,Chuy,UY,-33.6971,-53.4616,75.92,57,48,6.04,scattered clouds
105,Faanui,PF,-16.4833,-151.75,80.24,74,16,11.81,moderate rain
106,Khatanga,RU,71.9667,102.5,-2.45,98,100,5.14,overcast clouds
107,Husavik,IS,66.0449,-17.3389,26.51,75,15,17.45,few clouds
108,Lagunas,PE,-5.2269,-75.6753,88.79,54,100,4.23,overcast clouds
109,Buchanan,LR,5.8808,-10.0467,89.56,68,52,10.16,broken clouds
110,Bowen,AU,-20.0167,148.2333,75.42,73,0,15.1,clear sky
111,Kapiri Mposhi,ZM,-13.9652,28.6809,73.04,77,99,5.26,light rain
112,Bilibino,RU,68.0546,166.4372,-4.61,89,100,2.95,overcast clouds
113,Mount Gambier,AU,-37.8333,140.7667,62.51,77,100,10.36,overcast clouds
114,Shimoda,JP,34.6667,138.95,43.5,65,63,13.47,broken clouds
115,Eirunepe,BR,-6.6603,-69.8736,86.47,62,99,2.71,overcast clouds
116,Fallon,US,39.4735,-118.7774,17.47,79,0,3.44,clear sky
117,Biaora,IN,23.8667,76.9167,62.17,29,0,4.41,clear sky
118,Souillac,MU,-20.5167,57.5167,82.78,78,75,8.05,light rain
119,Inzhavino,RU,52.3185,42.4937,30.54,98,100,6.67,light snow
120,Kaitangata,NZ,-46.2817,169.8464,54.86,78,100,4.59,overcast clouds
121,Alice Springs,AU,-23.7,133.8833,74.75,94,100,12.66,heavy intensity rain
122,Kalabo,ZM,-14.97,22.6814,73.76,69,100,10.49,overcast clouds
123,Nanortalik,GL,60.1432,-45.2371,24.4,84,100,14.0,overcast clouds
124,Belmonte,BR,-15.8631,-38.8828,77.5,67,43,7.96,moderate rain
125,Enshi,CN,30.3,109.4833,36.39,95,94,0.85,overcast clouds
126,Hervey Bay,AU,-25.2986,152.8535,77.02,84,17,10.0,few clouds
127,Thompson,CA,55.7435,-97.8558,-7.44,84,100,0.0,overcast clouds
128,Fort Nelson,CA,58.8053,-122.7002,9.99,85,90,4.61,light snow
129,Kavieng,PG,-2.5744,150.7967,80.94,77,79,2.98,light rain
130,Port Hardy,CA,50.6996,-127.4199,45.75,81,100,20.71,light rain
131,Padang,ID,-0.9492,100.3543,78.33,87,90,2.3,moderate rain
132,Tabuk,PH,17.4189,121.4443,73.09,92,62,3.13,broken clouds
133,Tiksi,RU,71.6872,128.8694,-8.63,100,51,3.91,broken clouds
134,Punta Arenas,CL,-53.15,-70.9167,59.11,63,75,21.85,broken clouds
135,Tasiilaq,GL,65.6145,-37.6368,4.24,87,86,4.72,overcast clouds
136,Kulhudhuffushi,MV,6.6221,73.07,81.68,76,39,18.41,scattered clouds
137,Kirensk,RU,57.7853,108.1119,-16.6,100,97,1.5,overcast clouds
138,Lacolle,CA,45.0834,-73.3659,1.81,77,100,13.13,overcast clouds
139,Bandarbeyla,SO,9.4942,50.8122,77.0,69,37,21.39,scattered clouds
140,Fortuna,US,40.5982,-124.1573,39.54,87,0,10.36,clear sky
141,Pangnirtung,CA,66.1451,-65.7125,-20.76,99,100,1.48,overcast clouds
142,Provideniya,RU,64.3833,-173.3,0.54,91,12,3.94,few clouds
143,Olkhovka,RU,53.2115,60.6069,6.04,96,100,3.38,overcast clouds
144,Monte Alegre De Minas,BR,-18.8706,-48.8808,77.65,65,100,13.04,overcast clouds
145,Puerto Ayora,EC,-0.7393,-90.3518,75.16,78,76,8.7,broken clouds
146,Arlit,NE,18.7369,7.3853,82.81,7,6,3.96,clear sky
147,Port Lincoln,AU,-34.7333,135.8667,64.83,84,20,15.77,few clouds
148,Aleksandrovskiy Zavod,RU,50.9237,117.9374,-14.3,98,35,2.95,scattered clouds
149,De Aar,ZA,-30.6497,24.0123,89.58,19,1,8.25,clear sky
150,Takoradi,GH,4.8845,-1.7554,86.16,55,95,9.4,overcast clouds
151,Ribeira Grande,PT,38.5167,-28.7,64.8,52,20,5.75,few clouds
152,Pevek,RU,69.7008,170.3133,-11.18,98,100,3.31,overcast clouds
153,Coquimbo,CL,-29.9533,-71.3436,65.93,72,75,9.22,broken clouds
154,Hermanus,ZA,-34.4187,19.2345,81.81,50,0,23.53,clear sky
155,Tilichiki,RU,60.4667,166.1,20.77,79,96,11.21,overcast clouds
156,Taltal,CL,-25.4,-70.4833,68.5,70,5,6.06,clear sky
157,Satao,PT,40.7418,-7.7329,61.03,35,0,10.31,clear sky
158,Coxim,BR,-18.5067,-54.76,74.53,94,100,6.49,overcast clouds
159,Hasaki,JP,35.7333,140.8333,36.28,81,94,9.82,overcast clouds
160,Calarasi,MD,47.2544,28.3081,35.55,80,9,9.08,clear sky
161,Lata,PT,40.1629,-8.3327,66.04,22,0,6.69,clear sky
162,Vostok,RU,46.4856,135.8833,-17.52,99,100,3.4,overcast clouds
163,Goundam,ML,16.4145,-3.6708,89.53,8,42,15.17,scattered clouds
164,Shiyan,CN,32.6475,110.7781,34.86,87,49,2.57,scattered clouds
165,Barrow,US,71.2906,-156.7887,-9.38,77,90,11.5,haze
166,Kununurra,AU,-15.7667,128.7333,78.78,94,96,4.61,light rain
